名次	昵称	组别	总分	最后提交时间
1	lrh2000	北京大学	4306	2021/5/21 12:41
2	zhangboyang	北京大学	4306	2021/5/22 3:48
3	qqqrq	北京大学	3724	2021/5/20 9:50
4	孙译喆	北京大学	3724	2021/5/21 10:30
5	sAy');DROP TABL p;--	北京大学	3724	2021/5/21 23:04
6	Ferric	北京大学	3724	2021/5/22 15:33
7	You酱	工作人员	3724	2021/5/23 0:07
8	pkuGenuine	北京大学	3632	2021/5/23 9:51
9	雪舞冰夜	北京大学	3467	2021/5/21 1:40
10	jahoo	北京大学	3467	2021/5/22 21:44
11	liuyh	北京大学	3467	2021/5/23 0:48
12	DF4D0155	北京大学	3419	2021/5/23 5:16
13	littleTT	其他选手	3185	2021/5/19 19:35
14	欢迎参加今年十月份中科大第八届信安大赛	其他选手	3059	2021/5/18 23:30
15	debugger	北京大学	2931	2021/5/21 23:07
16	panoid	北京大学	2754	2021/5/23 6:03
17	cyag	北京大学	2754	2021/5/23 11:51
18	kuner	北京大学	2654	2021/5/23 7:15
19	Thecats	北京大学	2566	2021/5/21 23:33
20	lucifer1004	北京大学	2535	2021/5/23 9:53
21	wwzzj	北京大学	2520	2021/5/23 1:37
22	Xzonn	北京大学	2448	2021/5/22 14:56
23	Sui	北京大学	2418	2021/5/22 18:21
24	Metacinnabar	北京大学	2325	2021/5/23 6:10
25	oz	北京大学	2312	2021/5/23 11:59
26	000lbh	北京大学	2285	2021/5/23 8:52
27	user055	北京大学	2196	2021/5/23 10:07
28	黄白猫猫	北京大学	2143	2021/5/22 0:43
29	RannRu	北京大学	2143	2021/5/22 18:06
30	Hotarubi	北京大学	2143	2021/5/23 10:39
31	zz	北京大学	2102	2021/5/18 19:03
32	weiguan	北京大学	2072	2021/5/22 13:03
33	yc	北京大学	2050	2021/5/22 22:58
34	rlyown	北京大学	2005	2021/5/23 1:43
35	marvin	北京大学	1882	2021/5/22 23:12
36	白白白	北京大学	1812	2021/5/19 10:14
37	OriSteve	北京大学	1781	2021/5/22 23:07
38	zyx	北京大学	1740	2021/5/23 2:34
39	HYLZ	北京大学	1648	2021/5/22 18:21
40	ddadaal	北京大学	1568	2021/5/21 14:55
41	求吹学同好 vx: lzhF9AB2Bp	其他选手	1529	2021/5/18 12:55
42	kingkong	北京大学	1504	2021/5/23 11:56
43	house_fz	北京大学	1435	2021/5/20 21:10
44	苏南	北京大学	1394	2021/5/21 20:09
45	ZZZZ	其他选手	1298	2021/5/21 19:31
46	USTC doudou	其他选手	1238	2021/5/21 16:06
47	Antreas	北京大学	1185	2021/5/21 12:14
48	nautumn	北京大学	1176	2021/5/19 15:50
49	江户川闰土	北京大学	1176	2021/5/20 18:04
50	Rainshaw	北京大学	1159	2021/5/20 17:47
51	ker	北京大学	1045	2021/5/18 19:50
52	czarja	北京大学	971	2021/5/18 19:54
53	cheshire_cat	工作人员	933	2021/5/16 21:35
54	jeffswt	其他选手	917	2021/5/21 10:57
55	__z01	北京大学	908	2021/5/20 9:50
56	北大韩商言	其他选手	907	2021/5/18 20:37
57	Hyper	北京大学	878	2021/5/21 12:36
58	A-SOUL我们鸟巢见！	北京大学	870	2021/5/18 23:35
59	zcx	北京大学	851	2021/5/19 14:44
60	ljcwh	北京大学	784	2021/5/18 18:10
61	Jesse	北京大学	784	2021/5/19 15:42
62	trueKeuin	其他选手	782	2021/5/20 11:05
63	crvv	其他选手	769	2021/5/20 13:20
64	HNYuuu	北京大学	754	2021/5/22 15:54
65	hxl	北京大学	732	2021/5/19 21:07
66	Mella	其他选手	726	2021/5/21 20:29
67	YipHonsam	北京大学	721	2021/5/20 12:42
68	yzh182	北京大学	706	2021/5/20 13:55
69	wwwxxx	北京大学	692	2021/5/20 21:22
70	josephhuxley	其他选手	653	2021/5/17 23:55
71	ayer	其他选手	650	2021/5/22 0:15
72	徐文波	北京大学	636	2021/5/18 0:26
73	非战斗人员	工作人员	634	2021/5/19 17:18
74	zyfzyfzyf	北京大学	614	2021/5/18 20:34
75	vincent163	北京大学	569	2021/5/19 0:04
76	a	北京大学	568	2021/5/21 18:44
77	baker221	北京大学	558	2021/5/18 1:24
78	causality	北京大学	558	2021/5/18 9:05
79	nee	其他选手	541	2021/5/19 11:22
80	StupidCat	北京大学	517	2021/5/18 11:10
81	氢化脱苄苯甲醇	北京大学	517	2021/5/18 21:37
82	Doublefire.Chen	北京大学	517	2021/5/18 21:38
83	sigongzi	北京大学	503	2021/5/20 16:16
84	Spiridempt	北京大学	495	2021/5/18 19:07
85	toto	北京大学	464	2021/5/21 19:02
86	Monika	北京大学	443	2021/5/18 18:52
87	z1nccat	北京大学	439	2021/5/17 7:41
88	不是在校学生	其他选手	417	2021/5/21 13:23
89	EagleMD	北京大学	414	2021/5/22 3:31
90	菜鸟小白	北京大学	403	2021/5/20 13:57
91	MJ	北京大学	403	2021/5/22 20:15
92	ranwen	工作人员	402	2021/5/21 19:26
93	隔壁的 mcfx（orz ranwen	其他选手	395	2021/5/16 21:13
94	cp	其他选手	392	2021/5/21 11:26
95	UltraSB	北京大学	387	2021/5/16 17:05
96	zzjzxh	北京大学	385	2021/5/16 15:00
97	FlyingPig	北京大学	347	2021/5/16 17:05
98	cdb	北京大学	341	2021/5/22 11:19
99	PekXuing	北京大学	330	2021/5/23 11:34
100	kuroko	北京大学	327	2021/5/18 11:08
