名次	昵称	总分	最后提交时间
1	lrh2000	4306	2021/5/21 12:41
2	zhangboyang	4306	2021/5/22 3:48
3	qqqrq	3724	2021/5/20 9:50
4	孙译喆	3724	2021/5/21 10:30
5	sAy');DROP TABL p;--	3724	2021/5/21 23:04
6	Ferric	3724	2021/5/22 15:33
7	pkuGenuine	3632	2021/5/23 9:51
8	雪舞冰夜	3467	2021/5/21 1:40
9	jahoo	3467	2021/5/22 21:44
10	liuyh	3467	2021/5/23 0:48
11	DF4D0155	3419	2021/5/23 5:16
12	debugger	2931	2021/5/21 23:07
13	panoid	2754	2021/5/23 6:03
14	cyag	2754	2021/5/23 11:51
15	kuner	2654	2021/5/23 7:15
16	Thecats	2566	2021/5/21 23:33
17	lucifer1004	2535	2021/5/23 9:53
18	wwzzj	2520	2021/5/23 1:37
19	Xzonn	2448	2021/5/22 14:56
20	Sui	2418	2021/5/22 18:21
21	Metacinnabar	2325	2021/5/23 6:10
22	oz	2312	2021/5/23 11:59
23	000lbh	2285	2021/5/23 8:52
24	user055	2196	2021/5/23 10:07
25	黄白猫猫	2143	2021/5/22 0:43
26	RannRu	2143	2021/5/22 18:06
27	Hotarubi	2143	2021/5/23 10:39
28	zz	2102	2021/5/18 19:03
29	weiguan	2072	2021/5/22 13:03
30	yc	2050	2021/5/22 22:58
31	rlyown	2005	2021/5/23 1:43
32	marvin	1882	2021/5/22 23:12
33	白白白	1812	2021/5/19 10:14
34	OriSteve	1781	2021/5/22 23:07
35	zyx	1740	2021/5/23 2:34
36	HYLZ	1648	2021/5/22 18:21
37	ddadaal	1568	2021/5/21 14:55
38	kingkong	1504	2021/5/23 11:56
39	house_fz	1435	2021/5/20 21:10
40	苏南	1394	2021/5/21 20:09
41	Antreas	1185	2021/5/21 12:14
42	nautumn	1176	2021/5/19 15:50
43	江户川闰土	1176	2021/5/20 18:04
44	Rainshaw	1159	2021/5/20 17:47
45	ker	1045	2021/5/18 19:50
46	czarja	971	2021/5/18 19:54
47	__z01	908	2021/5/20 9:50
48	Hyper	878	2021/5/21 12:36
49	A-SOUL我们鸟巢见！	870	2021/5/18 23:35
50	zcx	851	2021/5/19 14:44
51	ljcwh	784	2021/5/18 18:10
52	Jesse	784	2021/5/19 15:42
53	HNYuuu	754	2021/5/22 15:54
54	hxl	732	2021/5/19 21:07
55	YipHonsam	721	2021/5/20 12:42
56	yzh182	706	2021/5/20 13:55
57	wwwxxx	692	2021/5/20 21:22
58	徐文波	636	2021/5/18 0:26
59	zyfzyfzyf	614	2021/5/18 20:34
60	vincent163	569	2021/5/19 0:04
61	a	568	2021/5/21 18:44
62	baker221	558	2021/5/18 1:24
63	causality	558	2021/5/18 9:05
64	StupidCat	517	2021/5/18 11:10
65	氢化脱苄苯甲醇	517	2021/5/18 21:37
66	Doublefire.Chen	517	2021/5/18 21:38
67	sigongzi	503	2021/5/20 16:16
68	Spiridempt	495	2021/5/18 19:07
69	toto	464	2021/5/21 19:02
70	Monika	443	2021/5/18 18:52
71	z1nccat	439	2021/5/17 7:41
72	EagleMD	414	2021/5/22 3:31
73	菜鸟小白	403	2021/5/20 13:57
74	MJ	403	2021/5/22 20:15
75	UltraSB	387	2021/5/16 17:05
76	zzjzxh	385	2021/5/16 15:00
77	FlyingPig	347	2021/5/16 17:05
78	cdb	341	2021/5/22 11:19
79	PekXuing	330	2021/5/23 11:34
80	kuroko	327	2021/5/18 11:08
81	koorong	322	2021/5/18 23:52
82	啥都不会凑热闹	322	2021/5/19 19:02
83	惜一叶	322	2021/5/20 11:05
84	leo	275	2021/5/18 17:26
85	zm	275	2021/5/21 17:43
86	pkuyyg	266	2021/5/16 15:49
87	Pims	266	2021/5/17 21:03
88	wwwwwwwvvv	266	2021/5/20 19:51
89	Melanoheliophobia	251	2021/5/17 23:58
90	labite	242	2021/5/20 10:42
91	jasmin3q	238	2021/5/21 19:27
92	lelema	217	2021/5/22 17:37
93	Utena	189	2021/5/22 10:46
94	Charlie	170	2021/5/18 22:54
95	gwolfs	161	2021/5/16 17:30
96	Mike	157	2021/5/16 17:22
97	PhyM	157	2021/5/16 17:29
98	春分日	157	2021/5/17 20:21
99	12f23eddde	157	2021/5/18 21:02
100	wangyunxuan	133	2021/5/16 19:53
